"","dgp","method","auroc","rmse","rmse.off","kl.div","sen","spe","pre","recall","fdr","acc","f1","run.time","converged"
"117","random0.01_p100_n300_diag0_R50","cv.loglik","0.7 (0.08)","0.03 (0.01)","0.99 (0.02)","1.11 (0.16)","0.4 (0.16)","0.96 (0.04)","NA (NA)","0.4 (0.16)","NA (NA)","0.96 (0.04)","0.23 (0.11)","1.53 (0.45)","1 (0)"
"118","random0.01_p100_n300_diag0_R50","huge.tiger","0.61 (0.03)","0.8 (0)","0.94 (0.03)","30.11 (0.31)","0.23 (0.06)","1 (0)","1 (0.01)","0.23 (0.06)","0 (0.01)","0.99 (0)","0.37 (0.07)","0.46 (0.17)","1 (0)"
"119","random0.01_p100_n300_diag0_R50","pcglasso","0.74 (0.12)","0.02 (0.01)","0.82 (0.13)","1.05 (0.13)","0.47 (0.23)","1 (0)","NA (NA)","0.47 (0.23)","NA (NA)","0.99 (0)","0.58 (0.28)","7.02 (2.13)","1 (0)"
"120","random0.01_p100_n500_diag0_R50","large","0.96 (0.02)","0.02 (0)","0.76 (0.08)","0.72 (0.06)","0.92 (0.03)","0.87 (0.01)","0.07 (0.01)","0.92 (0.03)","0.93 (0.01)","0.87 (0.01)","0.13 (0.02)","25.27 (10.85)","1 (0)"
"121","random0.01_p100_n500_diag0_R50","huge.ebic","0.61 (0.03)","0.02 (0)","1 (0)","1.08 (0.14)","0.22 (0.06)","1 (0)","0.92 (0.09)","0.22 (0.06)","0.08 (0.09)","0.99 (0)","0.35 (0.08)","1.5 (0.78)","1 (0)"
"122","random0.01_p100_n500_diag0_R50","huge.ric","0.64 (0.03)","0.02 (0)","1 (0)","1.05 (0.13)","0.28 (0.06)","1 (0)","0.86 (0.11)","0.28 (0.06)","0.14 (0.11)","0.99 (0)","0.41 (0.08)","2.72 (1.13)","1 (0)"
"123","random0.01_p100_n500_diag0_R50","huge.stars","0.7 (0.03)","0.02 (0)","0.99 (0)","0.9 (0.12)","0.4 (0.07)","0.99 (0)","0.3 (0.07)","0.4 (0.07)","0.7 (0.07)","0.98 (0)","0.34 (0.06)","17.75 (5.13)","1 (0)"
"124","random0.01_p100_n500_diag0_R50","cv.loglik","0.77 (0.11)","0.02 (0)","0.96 (0.05)","0.92 (0.13)","0.53 (0.23)","0.93 (0.07)","NA (NA)","0.53 (0.23)","NA (NA)","0.93 (0.07)","0.21 (0.13)","1.11 (0.32)","1 (0)"
"125","random0.01_p100_n500_diag0_R50","huge.tiger","0.82 (0.03)","0.8 (0)","0.85 (0.03)","29.81 (0.23)","0.64 (0.07)","1 (0)","0.99 (0.01)","0.64 (0.07)","0.01 (0.01)","1 (0)","0.77 (0.05)","0.45 (0.18)","1 (0)"
"126","random0.01_p100_n500_diag0_R50","pcglasso","0.8 (0.09)","0.02 (0.01)","0.74 (0.21)","0.89 (0.21)","0.61 (0.18)","1 (0.01)","NA (NA)","0.61 (0.18)","NA (NA)","0.99 (0.01)","0.67 (0.15)","5.03 (1.63)","1 (0)"
"127","random0.01_p300_n300_diag0_R50","large","0.93 (0.01)","0.06 (0.01)","0.85 (0.02)","8.01 (0.35)","0.87 (0.01)","0.91 (0)","0.09 (0.01)","0.87 (0.01)","0.91 (0.01)","0.91 (0)","0.16 (0.01)","224.89 (75.73)","1 (0)"
"128","random0.01_p300_n300_diag0_R50","huge.ebic","0.61 (0.02)","0.08 (0.01)","1 (0)","11.86 (0.64)","0.21 (0.03)","1 (0)","0.8 (0.04)","0.21 (0.03)","0.2 (0.04)","0.99 (0)","0.33 (0.04)","3.4 (1.62)","1 (0)"
"129","random0.01_p300_n300_diag0_R50","huge.ric","0.56 (0.01)","0.08 (0.01)","1 (0)","12.5 (0.68)","0.12 (0.02)","1 (0)","0.94 (0.03)","0.12 (0.02)","0.06 (0.03)","0.99 (0)","0.22 (0.02)","5.74 (2.36)","1 (0)"
"130","random0.01_p300_n300_diag0_R50","huge.stars","0.72 (0.01)","0.08 (0.01)","0.99 (0)","9.82 (0.53)","0.44 (0.03)","0.97 (0)","0.13 (0.01)","0.44 (0.03)","0.87 (0.01)","0.96 (0)","0.2 (0.02)","88.11 (30.59)","1 (0)"
"131","random0.01_p300_n300_diag0_R50","cv.loglik","0.72 (0.03)","0.08 (0.01)","0.99 (0)","9.99 (0.57)","0.44 (0.06)","0.97 (0.02)","0.17 (0.08)","0.44 (0.06)","0.83 (0.08)","0.97 (0.02)","0.23 (0.06)","85.18 (38.86)","1 (0)"
"132","random0.01_p300_n300_diag0_R50","huge.tiger","0.61 (0.01)","0.8 (0)","0.94 (0.01)","101.71 (1.68)","0.22 (0.02)","1 (0)","1 (0.01)","0.22 (0.02)","0 (0.01)","0.99 (0)","0.36 (0.03)","0.97 (0.5)","1 (0)"
"133","random0.01_p300_n300_diag0_R50","pcglasso","0.53 (0.07)","0.17 (0.01)","0.99 (0.02)","18.41 (0.8)","0.07 (0.13)","1 (0)","NA (NA)","0.07 (0.13)","NA (NA)","0.99 (0)","0.1 (0.2)","1020.37 (318.31)","1 (0)"
"134","random0.01_p300_n500_diag0_R50","large","0.95 (0.01)","0.05 (0.01)","0.77 (0.03)","5.25 (0.27)","0.9 (0.01)","0.94 (0)","0.14 (0.01)","0.9 (0.01)","0.86 (0.01)","0.94 (0)","0.24 (0.02)","692.08 (274.91)","1 (0)"
"135","random0.01_p300_n500_diag0_R50","huge.ebic","0.63 (0.01)","0.08 (0.01)","1 (0)","11.51 (0.74)","0.25 (0.03)","1 (0)","0.95 (0.03)","0.25 (0.03)","0.05 (0.03)","0.99 (0)","0.4 (0.03)","4.1 (2.39)","1 (0)"
"136","random0.01_p300_n500_diag0_R50","huge.ric","0.62 (0.01)","0.08 (0.01)","1 (0)","11.65 (0.73)","0.24 (0.02)","1 (0)","0.96 (0.02)","0.24 (0.02)","0.04 (0.02)","0.99 (0)","0.38 (0.03)","8.82 (5.38)","1 (0)"
"137","random0.01_p300_n500_diag0_R50","huge.stars","0.73 (0.01)","0.07 (0.01)","0.99 (0)","8.79 (0.55)","0.46 (0.03)","0.98 (0)","0.22 (0.02)","0.46 (0.03)","0.78 (0.02)","0.98 (0)","0.29 (0.02)","109.05 (47.62)","1 (0)"
"138","random0.01_p300_n500_diag0_R50","cv.loglik","0.86 (0.06)","0.07 (0.01)","0.93 (0.04)","8.01 (0.46)","0.72 (0.12)","0.91 (0.04)","0.09 (0.03)","0.72 (0.12)","0.91 (0.03)","0.91 (0.04)","0.15 (0.04)","73.71 (29.08)","1 (0)"
"139","random0.01_p300_n500_diag0_R50","huge.tiger","0.83 (0.01)","0.79 (0)","0.83 (0.01)","99.83 (1.63)","0.66 (0.02)","1 (0)","1 (0)","0.66 (0.02)","0 (0)","1 (0)","0.8 (0.02)","1.1 (0.55)","1 (0)"
"140","random0.01_p300_n500_diag0_R50","pcglasso","0.9 (0.01)","0.05 (0)","0.64 (0.04)","8.17 (0.34)","0.8 (0.02)","1 (0)","0.99 (0.01)","0.8 (0.02)","0.01 (0.01)","1 (0)","0.89 (0.01)","1037.99 (370.14)","1 (0)"
