"","method","rep","rmse","rmse.off","kl.div","auroc","sen","spe","pre","recall","acc","f1","fdr","converged","run.time","dgp"
"1","large",1,0.091084858106223,0.554137973581831,2.37101844758291,0.984536082474227,0.969072164948454,0.996290954049042,0.839285714285714,0.969072164948454,0.995757575757576,0.899521531100478,0.160714285714286,TRUE,12.8314788341522,"band1_p100_n300_diag0_R50"
"2","huge.ebic",1,0.184232437496693,0.997953839731328,4.45091310592606,0.701154137838004,0.402061855670103,0.999175767566454,0.906976744186046,0.402061855670103,0.987474747474748,0.557142857142857,0.0930232558139535,TRUE,2.76897239685059,"band1_p100_n300_diag0_R50"
"3","huge.ric",1,0.184146229515227,0.997433159287062,4.28724170747995,0.726914587851919,0.45360824742268,0.999175767566454,0.916666666666667,0.45360824742268,0.988484848484849,0.606896551724138,0.0833333333333333,TRUE,4.29130744934082,"band1_p100_n300_diag0_R50"
"4","huge.stars",1,0.182843131653666,0.99014038555033,2.69651205044639,0.835085535358084,0.670103092783505,0.950752112095611,0.213815789473684,0.670103092783505,0.945252525252525,0.324189526184539,0.786184210526316,TRUE,38.1850521564484,"band1_p100_n300_diag0_R50"
"5","cv.loglik",1,0.182688975282001,0.989684562706875,2.84996337847105,0.834779634661098,0.670103092783505,0.868122810632598,0.0921985815602837,0.670103092783505,0.864242424242424,0.162094763092269,0.907801418439716,TRUE,1.77396392822266,"band1_p100_n300_diag0_R50"
"6","huge.tiger",1,0.787047128209749,0.862753324244571,33.1358947658091,0.963969571377892,0.927835051546392,0.997733360807748,0.891089108910891,0.927835051546392,0.996363636363636,0.909090909090909,0.108910891089109,TRUE,0.493217468261719,"band1_p100_n300_diag0_R50"
"7","pcglasso",1,0.0714641762843004,0.383258235718661,1.83116483395278,0.999912903273775,1,0.996497012157428,0.850877192982456,1,0.996565656565657,0.919431279620853,0.149122807017544,TRUE,22.9736242294312,"band1_p100_n300_diag0_R50"
"8","large",2,0.0682078003791087,0.401603779298018,2.32916020897654,0.989701343201463,0.979381443298969,0.996084895940655,0.833333333333333,0.979381443298969,0.995757575757576,0.900473933649289,0.166666666666667,TRUE,11.1363604068756,"band1_p100_n300_diag0_R50"
"9","huge.ebic",2,0.183558260209401,0.997755442458581,4.51417374509195,0.711399686876648,0.422680412371134,0.999793941891613,0.976190476190476,0.422680412371134,0.988484848484849,0.589928057553957,0.0238095238095238,TRUE,2.0402204990387,"band1_p100_n300_diag0_R50"
"10","huge.ric",2,0.183479544655788,0.997297098618279,4.35511826451128,0.721764197297452,0.443298969072165,0.999587883783227,0.955555555555556,0.443298969072165,0.988686868686869,0.605633802816901,0.0444444444444444,TRUE,5.75177717208862,"band1_p100_n300_diag0_R50"
"11","huge.stars",2,0.182289656779073,0.990746520955417,2.87774603265132,0.835697336752057,0.670103092783505,0.95322480939625,0.222602739726027,0.670103092783505,0.947676767676768,0.334190231362468,0.777397260273973,TRUE,40.3414423465729,"band1_p100_n300_diag0_R50"
"12","cv.loglik",2,0.182208779560452,0.990400205586207,2.85058939175725,0.835459413987734,0.670103092783505,0.938594683700804,0.179063360881543,0.670103092783505,0.933333333333333,0.282608695652174,0.820936639118457,TRUE,1.57505393028259,"band1_p100_n300_diag0_R50"
"13","huge.tiger",2,0.773668759196804,0.828404658555464,32.2311423656465,0.979381443298969,0.958762886597938,1,1,0.958762886597938,0.999191919191919,0.978947368421053,0,TRUE,0.602707147598267,"band1_p100_n300_diag0_R50"
"14","pcglasso",2,0.0456077599489814,0.238335553746038,1.90243130161115,0.999997875689604,1,0.998351535132908,0.923809523809524,1,0.998383838383838,0.96039603960396,0.0761904761904762,TRUE,17.7885575294495,"band1_p100_n300_diag0_R50"
"15","large",3,0.0840102840145053,0.498886322594954,2.39893677805743,0.97941118364451,0.958762886597938,0.995260663507109,0.801724137931034,0.958762886597938,0.994545454545455,0.873239436619718,0.198275862068966,TRUE,9.15770840644836,"band1_p100_n300_diag0_R50"
"16","huge.ebic",3,0.18337486744763,0.99783076226822,4.50798872184622,0.71157812894989,0.422680412371134,0.998763651349681,0.872340425531915,0.422680412371134,0.987474747474748,0.569444444444444,0.127659574468085,TRUE,2.3746325969696,"band1_p100_n300_diag0_R50"
"17","huge.ric",3,0.18328031858095,0.997270812646733,4.31791367947989,0.742527207105393,0.484536082474227,0.998557593241294,0.87037037037037,0.484536082474227,0.988484848484849,0.622516556291391,0.12962962962963,TRUE,3.621013879776,"band1_p100_n300_diag0_R50"
"18","huge.stars",3,0.182019535606532,0.990260469990647,2.75362304730482,0.835051546391753,0.670103092783505,0.951782402637544,0.217391304347826,0.670103092783505,0.946262626262626,0.328282828282828,0.782608695652174,TRUE,39.3802359104156,"band1_p100_n300_diag0_R50"
"19","cv.loglik",3,0.181990830195926,0.990136495831229,2.74158664431309,0.835357447088739,0.670103092783505,0.944982485060787,0.19578313253012,0.670103092783505,0.93959595959596,0.303030303030303,0.80421686746988,TRUE,1.32048749923706,"band1_p100_n300_diag0_R50"
"20","huge.tiger",3,0.78052259265003,0.843533210679181,32.4108206407187,0.989694970270276,0.979381443298969,0.999587883783227,0.979381443298969,0.979381443298969,0.999191919191919,0.979381443298969,0.0206185567010309,TRUE,1.17242527008057,"band1_p100_n300_diag0_R50"
"21","pcglasso",3,0.0614438688163985,0.323576920944501,1.88421214214133,0.999749331373303,1,0.996290954049042,0.843478260869565,1,0.996363636363636,0.915094339622642,0.156521739130435,TRUE,26.3703157901764,"band1_p100_n300_diag0_R50"
"22","large",4,0.0805378554370687,0.483435895646876,2.40304939700133,0.989565387336136,0.979381443298969,0.995672779723882,0.818965517241379,0.979381443298969,0.995353535353535,0.892018779342723,0.181034482758621,TRUE,10.575973033905,"band1_p100_n300_diag0_R50"
"23","huge.ebic",4,0.183062900495067,0.997630631124957,4.36142409774327,0.742365759515317,0.484536082474227,0.999175767566454,0.92156862745098,0.484536082474227,0.989090909090909,0.635135135135135,0.0784313725490196,TRUE,2.59615135192871,"band1_p100_n300_diag0_R50"
"24","huge.ric",4,0.183109215440601,0.997913880669483,4.44951920039984,0.716490596740033,0.43298969072165,0.999587883783227,0.954545454545455,0.43298969072165,0.988484848484849,0.595744680851064,0.0454545454545455,TRUE,4.26510167121887,"band1_p100_n300_diag0_R50"
"25","huge.stars",4,0.181858621678055,0.990726805235668,2.76615040965588,0.834745645694766,0.670103092783505,0.970533690500721,0.3125,0.670103092783505,0.964646464646465,0.426229508196721,0.6875,TRUE,40.246600151062,"band1_p100_n300_diag0_R50"
"26","cv.loglik",4,0.181657370788331,0.989830615179392,2.64144983586805,0.834609689829439,0.670103092783505,0.936328044508551,0.17379679144385,0.670103092783505,0.931111111111111,0.276008492569002,0.82620320855615,TRUE,1.36814641952515,"band1_p100_n300_diag0_R50"
"27","huge.tiger",4,0.777631363012237,0.837241889820454,32.4591904868457,0.979368697436595,0.958762886597938,0.998557593241294,0.93,0.958762886597938,0.997777777777778,0.944162436548223,0.07,TRUE,0.611715793609619,"band1_p100_n300_diag0_R50"
"28","pcglasso",4,0.0566347554022397,0.301641358737754,1.79196063889822,0.99978544465003,1,0.996909128374202,0.866071428571429,1,0.996969696969697,0.92822966507177,0.133928571428571,TRUE,19.505042552948,"band1_p100_n300_diag0_R50"
"29","large",5,0.0803284504372065,0.487762741962842,2.29126873727895,0.979415432265301,0.958762886597938,0.995466721615496,0.808695652173913,0.958762886597938,0.994747474747475,0.877358490566038,0.191304347826087,TRUE,9.51881504058838,"band1_p100_n300_diag0_R50"
"30","huge.ebic",5,0.187119125215881,0.997742156623559,4.44685570872479,0.742268041237113,0.484536082474227,1,1,0.484536082474227,0.98989898989899,0.652777777777778,0,TRUE,2.22796654701233,"band1_p100_n300_diag0_R50"
"31","huge.ric",5,0.187091276255204,0.997570786546445,4.39585010571902,0.747422680412371,0.494845360824742,1,1,0.494845360824742,0.99010101010101,0.662068965517241,0,TRUE,3.8248393535614,"band1_p100_n300_diag0_R50"
"32","huge.stars",5,0.185890306804918,0.990817229535351,2.77118500773782,0.835425425021402,0.670103092783505,0.973830620234906,0.338541666666667,0.670103092783505,0.967878787878788,0.449826989619377,0.661458333333333,TRUE,47.390251159668,"band1_p100_n300_diag0_R50"
"33","cv.loglik",5,0.18561582055755,0.989664538801175,2.61827822062317,0.835391436055071,0.670103092783505,0.924170616113744,0.150115473441109,0.670103092783505,0.919191919191919,0.245283018867925,0.849884526558891,TRUE,1.59180045127869,"band1_p100_n300_diag0_R50"
"34","huge.tiger",5,0.77596070702525,0.832918299521548,32.180510996979,0.974221493347722,0.948453608247423,0.999793941891613,0.989247311827957,0.948453608247423,0.998787878787879,0.968421052631579,0.010752688172043,TRUE,0.643411874771118,"band1_p100_n300_diag0_R50"
"35","pcglasso",5,0.0549764702896317,0.284474589731267,1.77867939805321,0.994683913234666,0.989690721649485,0.997733360807748,0.897196261682243,0.989690721649485,0.997575757575758,0.941176470588235,0.102803738317757,TRUE,17.7374646663666,"band1_p100_n300_diag0_R50"
"36","large",6,0.0803814146524079,0.479991353000709,2.27565900911702,0.984545641871008,0.969072164948454,0.994848547290336,0.789915966386555,0.969072164948454,0.994343434343434,0.87037037037037,0.210084033613445,TRUE,10.1715672016144,"band1_p100_n300_diag0_R50"
"37","huge.ebic",6,0.181295624735923,0.989806982111071,2.60299804308216,0.83481362362743,0.670103092783505,0.95322480939625,0.222602739726027,0.670103092783505,0.947676767676768,0.334190231362468,0.777397260273973,TRUE,2.25317978858948,"band1_p100_n300_diag0_R50"
